Reviews
Bad quality
"
            "
Looks  good
"
            "
The T-shirt is very good with a great fitting and good colour
"
            "
Good quality
"
            "
Taking full MRP price but l oreder only 439 but he take 1019
"
            "
Duplicate
"
            "
Good product.
"
            "
Nice
"
            "
Nice
"
            "
Perfect ....
"
            "
